Date,Open,High,Low,Close,Volume
8/14/57,45.73,45.73,45.73,45.73,1133333
8/15/57,45.75,45.75,45.75,45.75,1133333
8/16/57,45.83,45.83,45.83,45.83,816667
8/19/57,44.91,44.91,44.91,44.91,1133333
8/20/57,45.29,45.29,45.29,45.29,1500000
8/21/57,45.49,45.49,45.49,45.49,955556
8/22/57,45.16,45.16,45.16,45.16,833333
8/23/57,44.51,44.51,44.51,44.51,1088889
8/26/57,43.89,43.89,43.89,43.89,1488889
8/27/57,44.61,44.61,44.61,44.61,1250000
8/28/57,44.64,44.64,44.64,44.64,1022222
8/29/57,44.46,44.46,44.46,44.46,905556
8/30/57,45.22,45.22,45.22,45.22,888889
9/3/57,45.44,45.44,45.44,45.44,827778
9/4/57,45.05,45.05,45.05,45.05,700000
9/5/57,44.82,44.82,44.82,44.82,788889
9/6/57,44.68,44.68,44.68,44.68,733333
9/9/57,44.28,44.28,44.28,44.28,788889
9/10/57,43.87,43.87,43.87,43.87,1038889
9/11/57,44.26,44.26,44.26,44.26,1183333
9/12/57,44.82,44.82,44.82,44.82,1116667
9/13/57,44.8,44.8,44.8,44.8,900000
9/16/57,44.58,44.58,44.58,44.58,716667
9/17/57,44.64,44.64,44.64,44.64,827778
9/18/57,44.69,44.69,44.69,44.69,855556
9/19/57,44.4,44.4,44.4,44.4,844444
9/20/57,43.69,43.69,43.69,43.69,1300000
9/23/57,42.69,42.69,42.69,42.69,1755556
9/24/57,42.98,42.98,42.98,42.98,1577778
9/25/57,42.98,42.98,42.98,42.98,1538889
9/26/57,42.57,42.57,42.57,42.57,1183333
9/27/57,42.55,42.55,42.55,42.55,972222
9/30/57,42.42,42.42,42.42,42.42,844444
10/1/57,42.76,42.76,42.76,42.76,933333
10/2/57,43.1,43.1,43.1,43.1,977778
10/3/57,43.14,43.14,43.14,43.14,883333
10/4/57,42.79,42.79,42.79,42.79,844444
10/7/57,42.22,42.22,42.22,42.22,1383333
10/8/57,41.95,41.95,41.95,41.95,1772222
10/9/57,41.99,41.99,41.99,41.99,1177778
10/10/57,40.96,40.96,40.96,40.96,1833333
10/11/57,40.94,40.94,40.94,40.94,2477778
10/14/57,41.24,41.24,41.24,41.24,1538889
